ITEM_ID,SYSTEM_ID,RESPONSE_CATEGORY_ID,ITEM_NORMALIZED,ERROR_SUBCATEGORY_ID
258,PARQUES,COMPONENTS,carcel,OK
259,PARQUES,COMPONENTS,fichas,OK
260,PARQUES,COMPONENTS,peones,OK
261,PARQUES,COMPONENTS,dados,OK
262,PARQUES,COMPONENTS,dado,OK
263,PARQUES,COMPONENTS,tablero,OK
264,PARQUES,COMPONENTS,jugadores,OK
265,PARQUES,COMPONENTS,meta,OK
266,PARQUES,COMPONENTS,llegada,OK
267,PARQUES,COMPONENTS,casillas,OK
268,PARQUES,COMPONENTS,cuadros,OK
269,PARQUES,CONSTANTS,caras dado,OK
270,PARQUES,CONSTANTS,rango dado,OK
271,PARQUES,CONSTANTS,numero fichas,OK
272,PARQUES,CONSTANTS,numero casillas,OK
273,PARQUES,CONSTANTS,maximo jugadores,OK
274,PARQUES,CONSTANTS,capacidad jugadores,OK
275,PARQUES,VARIABLES,tiros necesarios,OK
276,PARQUES,VARIABLES,veces carcel,OK
277,PARQUES,VARIABLES,cantidad desplazamiento,OK
278,PARQUES,VARIABLES,cantidad jugadores,OK
279,PARQUES,VARIABLES,fichas restantes jugador,OK
280,PARQUES,VARIABLES,numero saltos,OK
281,PARQUES,VARIABLES,puestos llegada,OK
282,PARQUES,VARIABLES,primer jugador,OK
283,PARQUES,VARIABLES,ultimo jugador,OK
284,PARQUES,VARIABLES,jugador turno,OK
285,PARQUES,VARIABLES,posicion ficha,OK
286,PARQUES,VARIABLES,valor dado actual,OK
287,PARQUES,VARIABLES,estado partida,OK
80,BIBLIOTECA,COMPONENTS,mostrador,OK
87,BIBLIOTECA,CONSTANTS,numero maximo libros,OK
90,BIBLIOTECA,VARIABLES,libros prestados,OK
16,ASCENSORES,VARIABLES,piso ubicado,OK
17,ASCENSORES,VARIABLES,numero personas abordo,OK
18,ASCENSORES,VARIABLES,numero personas dentro,OK
19,ASCENSORES,VARIABLES,peso actual,OK
20,ASCENSORES,VARIABLES,numero pisos a visitar,OK
21,ASCENSORES,VARIABLES,cantidad botones marcados,OK
22,ASCENSORES,VARIABLES,direccion ascensor,OK
23,ASCENSORES,VARIABLES,estado puertas,OK
24,ASCENSORES,VARIABLES,estado puerta,OK
25,ASCENSORES,CONSTANTS,numero puertas,OK
26,ASCENSORES,CONSTANTS,capacidad ascensor,OK
27,ASCENSORES,CONSTANTS,capacidad,OK
28,ASCENSORES,CONSTANTS,capacidad maxima,OK
