System ID,Response Category ID,Item Normalized,Error Subcategory ID,Feedback
ASCENSORES,COMPONENTS,cabina,OK,
ASCENSORES,CONSTANTS,total botones,OK,
ASCENSORES,COMPONENTS,botones,OK,
ASCENSORES,COMPONENTS,panel botones,OK,
ASCENSORES,COMPONENTS,panel control,OK,
ASCENSORES,COMPONENTS,polea,OK,
ASCENSORES,COMPONENTS,poleas,OK,
ASCENSORES,COMPONENTS,gente,OK,
ASCENSORES,COMPONENTS,personas,OK,
ASCENSORES,COMPONENTS,puertas,OK,
ASCENSORES,COMPONENTS,puerta,OK,
ASCENSORES,COMPONENTS,piso,OK,
ASCENSORES,COMPONENTS,pisos,OK,
ASCENSORES,COMPONENTS,habitantes,OK,
ASCENSORES,COMPONENTS,edificio,OK,
ASCENSORES,COMPONENTS,motor,OK,
ASCENSORES,CONSTANTS,numero pisos,OK,
"ASCENSORES,CONSTANTS,nombre la persona,NON_ESSENTIAL_ABSTRACTION,""El nombre del usuario no es relevante para el funcionamiento del sistema,"""
"ASCENSORES,CONSTANTS,identificacion la persona,NON_ESSENTIAL_ABSTRACTION,""La identificación de la persona no es relevante para el funcionamiento del sistema,"""
"ASCENSORES,CONSTANTS,numero viviendas,NON_ESSENTIAL_ABSTRACTION,""Esto no es relevante para el sistema de ascensores.,"""
"ASCENSORES,VARIABLES,habitantes,NON_ESSENTIAL_ABSTRACTION,""Esto no es relevante para el sistema de ascensores, tal vez capacidad del ascensor o numero de personas dentro del ascensor.,"""
"ASCENSORES,VARIABLES,material,NON_ESSENTIAL_ABSTRACTION,""No es relevante para el sistema,"""
ASCENSORES,VARIABLES,piso ubicado,OK,
ASCENSORES,VARIABLES,numero personas abordo,OK,
ASCENSORES,VARIABLES,numero personas dentro,OK,
ASCENSORES,VARIABLES,peso actual,OK,
ASCENSORES,VARIABLES,numero pisos a visitar,OK,
ASCENSORES,VARIABLES,cantidad botones marcados,OK,
ASCENSORES,VARIABLES,direccion ascensor,OK,
ASCENSORES,VARIABLES,estado puertas,OK,
ASCENSORES,VARIABLES,estado puerta,OK,
ASCENSORES,CONSTANTS,numero puertas,OK,
ASCENSORES,CONSTANTS,capacidad ascensor,OK,
ASCENSORES,CONSTANTS,capacidad,OK,
ASCENSORES,CONSTANTS,capacidad maxima,OK,
ASCENSORES,CONSTANTS,numero pisos edificio,OK,
ASCENSORES,CONSTANTS,total pisos,OK,
ASCENSORES,CONSTANTS,numero ascensores,OK,
ASCENSORES,COMPONENTS,usuarios,OK,
"BIBLIOTECA,VARIABLES,numero copias libro,CONSTANT_AS_VARIABLE,""El número de copias es distinto entre libros, pero es el mismo para cada libro.,"""
"BIBLIOTECA,VARIABLES,ubicacion libro,CONSTANT_AS_VARIABLE,""Esto es una constante, la marca o código de la ubicación del libro siempre es la misma.,"""
BIBLIOTECA,COMPONENTS,mostrador,OK,
BIBLIOTECA,CONSTANTS,numero maximo libros,OK,
BIBLIOTECA,VARIABLES,libros prestados,OK,
BIBLIOTECA,COMPONENTS,libros,OK,
BIBLIOTECA,COMPONENTS,libro,OK,
BIBLIOTECA,COMPONENTS,computadores,OK,
BIBLIOTECA,COMPONENTS,computador,OK,
BIBLIOTECA,COMPONENTS,mesas,OK,
BIBLIOTECA,COMPONENTS,mesa,OK,
BIBLIOTECA,COMPONENTS,sillas,OK,
BIBLIOTECA,COMPONENTS,silla,OK,
BIBLIOTECA,COMPONENTS,estanterias,OK,
BIBLIOTECA,COMPONENTS,estanteria,OK,
BIBLIOTECA,COMPONENTS,personal,OK,
BIBLIOTECA,COMPONENTS,bibliotecarios,OK,
BIBLIOTECA,COMPONENTS,inventario,OK,
BIBLIOTECA,VARIABLES,numero libros inventario,OK,
BIBLIOTECA,VARIABLES,numero libros adentro,OK,
BIBLIOTECA,VARIABLES,numero libros prestados,OK,
BIBLIOTECA,VARIABLES,numero libros bodega,OK,
BIBLIOTECA,VARIABLES,numero libros dia,OK,
BIBLIOTECA,VARIABLES,numero libros prestados dia,OK,
BIBLIOTECA,VARIABLES,numero libros entregados,OK,
BIBLIOTECA,VARIABLES,numero libros entregados dia,OK,
BIBLIOTECA,VARIABLES,personas dentro biblioteca,OK,
BIBLIOTECA,VARIABLES,numero computadores inventario,OK,
BIBLIOTECA,VARIABLES,numero computadores prestados,OK,
BIBLIOTECA,VARIABLES,numero sillas disponibles,OK,
BIBLIOTECA,VARIABLES,numero computadores disponibles prestar,OK,
BIBLIOTECA,VARIABLES,numero bibliotecarios disponibles,OK,
BIBLIOTECA,VARIABLES,usuarios dentro biblioteca,OK,
BIBLIOTECA,VARIABLES,numero personal disponible,OK,
BIBLIOTECA,CONSTANTS,numero estanterias,OK,
BIBLIOTECA,CONSTANTS,autor libro,OK,
BIBLIOTECA,CONSTANTS,codigo libro,OK,
BIBLIOTECA,CONSTANTS,autor,OK,
BIBLIOTECA,CONSTANTS,numero paginas,OK,
BIBLIOTECA,CONSTANTS,nombre libro,OK,
BIBLIOTECA,CONSTANTS,titulo libro,OK,
BIBLIOTECA,CONSTANTS,maximo libros persona,OK,
BIBLIOTECA,CONSTANTS,maximo prestamos persona,OK,
BIBLIOTECA,CONSTANTS,maximo computadores persona,OK,
BIBLIOTECA,CONSTANTS,total computadores,OK,
BIBLIOTECA,CONSTANTS,total libros,OK,
BIBLIOTECA,COMPONENTS,revistas,OK,
BIBLIOTECA,COMPONENTS,periodicos,OK,
BIBLIOTECA,CONSTANTS,total revistas,OK,
BIBLIOTECA,CONSTANTS,total periodicos,OK,
BIBLIOTECA,COMPONENTS,salas,OK,
